manufacturer,implementation_id,unit_cost_cny_per_unit,distance_km,response_time_h,qualified_rate,capacity_min_units,capacity_max_units,fulfillment_rate,performance_score
A,p_0,1800,50,8,0.98,800,1100,0.9,0.8
B,p_1,1705,120,4,0.95,600,1300,0.85,0.75
C,p_2,1740,20,4,0.99,500,700,0.95,0.9
D,p_3,1810,80,2,0.92,800,1500,0.8,0.8
E,p_4,1767,300,5,0.96,1000,2000,0.9,0.85
F,p_5,1800,60,6,0.97,300,500,0.92,0.9
G,p_6,1830,150,6,0.95,900,1200,0.88,0.8
H,p_7,1755,30,3,0.99,600,1100,0.95,0.9
I,p_8,1805,180,7,0.94,700,1300,0.89,0.83
J,p_9,1770,90,4,0.96,500,900,0.91,0.86
K,p_10,1815,300,6,0.91,1200,2000,0.85,0.78
L,p_11,1760,20,3,0.99,400,800,0.96,0.92
M,p_12,1790,220,5,0.95,800,1400,0.9,0.87
N,p_13,1825,160,6,0.93,600,1000,0.88,0.82
O,p_14,1750,270,7,0.96,900,1700,0.91,0.88
P,p_15,1800,50,4,0.97,300,600,0.92,0.89
Q,p_16,1785,130,5,0.94,800,1500,0.89,0.84
R,p_17,1835,190,6,0.92,700,1200,0.86,0.8
S,p_18,1768,75,3,0.98,500,900,0.94,0.9
T,p_19,1812,210,5,0.93,700,1300,0.88,0.83
